,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost
360,0,0,0,6,9,710,770,740
361,0,0,0,2,8,1150,1950,1550
362,0,0,0,4,9,675,795,735
363,0,7,0,1,4,799,1670,1234.5
364,0,5,0,2,8,510,900,705
365,0,11,0,4,9,340,560,450
366,0,0,1,4,9,475,625,550
367,0,6,1,2,7,870,1015,942.5
368,0,2,1,2,8,550,824,687
369,0,13,0,2,8,1040,1495,1267.5
370,0,11,0,2,9,724,1619,1171.5
371,0,13,0,2,8,980,1515,1247.5
372,0,2,0,8,9,2380,2380,2380
373,0,5,0,2,7,585,665,625
374,0,13,1,2,7,550,981,765.5
375,0,3,0,4,8,1850,2775,2312.5
376,0,8,0,2,7,900,1515,1207.5
377,0,13,0,2,7,590,866,728
378,0,11,0,4,9,749,1319,1034
379,0,11,0,2,9,725,2499,1612
380,0,9,0,2,7,1595,1595,1595
381,0,13,0,2,7,863,1390,1126.5
382,0,9,0,2,8,895,1285,1090
383,0,0,0,4,9,709,925,817
384,0,13,0,2,7,865,1780,1322.5
385,0,0,0,6,9,710,770,740
386,0,0,0,2,8,1150,1950,1550
387,0,0,0,4,9,675,795,735
388,0,7,0,1,4,799,1670,1234.5
389,0,5,0,2,8,510,900,705
390,0,11,0,4,9,340,560,450
391,0,0,1,4,9,475,625,550
392,0,6,1,2,7,870,1015,942.5
393,0,2,1,2,8,550,824,687
394,0,13,0,2,8,1040,1495,1267.5
395,0,11,0,2,9,724,1619,1171.5
396,0,13,0,2,8,980,1515,1247.5
397,0,2,0,8,9,2380,2380,2380
398,0,5,0,2,7,585,665,625
399,0,13,1,2,7,550,981,765.5
400,0,3,0,4,8,1850,2775,2312.5
401,0,8,0,2,7,900,1515,1207.5
402,0,13,0,2,7,590,866,728
403,0,11,0,4,9,749,1319,1034
404,0,11,0,2,9,725,2499,1612
405,0,9,0,2,7,1595,1595,1595
406,0,13,0,2,7,863,1390,1126.5
407,0,9,0,2,8,895,1285,1090
408,0,0,0,4,9,709,925,817
409,0,13,0,2,7,865,1780,1322.5
410,0,0,0,6,9,710,770,740
411,0,0,0,2,8,1150,1950,1550
412,0,0,0,4,9,675,795,735
413,0,7,0,1,4,799,1670,1234.5
414,0,5,0,2,8,510,900,705
415,0,11,0,4,9,340,560,450
416,0,0,1,4,9,475,625,550
417,0,6,1,2,7,870,1015,942.5
418,0,2,1,2,8,550,824,687
419,0,13,0,2,8,1040,1495,1267.5
420,0,11,0,2,9,724,1619,1171.5
421,0,13,0,2,8,980,1515,1247.5
422,0,2,0,8,9,2380,2380,2380
423,0,5,0,2,7,585,665,625
424,0,13,1,2,7,550,981,765.5
425,0,3,0,4,8,1850,2775,2312.5
426,0,8,0,2,7,900,1515,1207.5
427,0,13,0,2,7,590,866,728
428,0,11,0,4,9,749,1319,1034
429,0,11,0,2,9,725,2499,1612
430,0,9,0,2,7,1595,1595,1595
431,0,13,0,2,7,863,1390,1126.5
432,0,9,0,2,8,895,1285,1090
433,0,0,0,4,9,709,925,817
434,0,13,0,2,7,865,1780,1322.5
435,0,0,0,6,9,710,770,740
436,0,0,0,2,8,1150,1950,1550
437,0,0,0,4,9,675,795,735
438,0,7,0,1,4,799,1670,1234.5
439,0,5,0,2,8,510,900,705
440,0,11,0,4,9,340,560,450
441,0,0,1,4,9,475,625,550
442,0,6,1,2,7,870,1015,942.5
443,0,2,1,2,8,550,824,687
444,0,13,0,2,8,1040,1495,1267.5
445,0,11,0,2,9,724,1619,1171.5
446,0,13,0,2,8,980,1515,1247.5
447,0,2,0,8,9,2380,2380,2380
448,0,5,0,2,7,585,665,625
449,0,13,1,2,7,550,981,765.5
450,0,3,0,4,8,1850,2775,2312.5
451,0,8,0,2,7,900,1515,1207.5
452,0,13,0,2,7,590,866,728
453,0,11,0,4,9,749,1319,1034
454,0,11,0,2,9,725,2499,1612
455,0,9,0,2,7,1595,1595,1595
456,0,13,0,2,7,863,1390,1126.5
457,0,9,0,2,8,895,1285,1090
458,0,0,0,4,9,709,925,817
459,0,13,0,2,7,865,1780,1322.5
460,0,0,0,6,9,710,770,740
461,0,0,0,2,8,1150,1950,1550
462,0,0,0,4,9,675,795,735
463,0,7,0,1,4,799,1670,1234.5
464,0,5,0,2,8,510,900,705
465,0,11,0,4,9,340,560,450
466,0,0,1,4,9,475,625,550
467,0,6,1,2,7,870,1015,942.5
468,0,2,1,2,8,550,824,687
469,0,13,0,2,8,1040,1495,1267.5
470,0,11,0,2,9,724,1619,1171.5
471,0,13,0,2,8,980,1515,1247.5
472,0,2,0,8,9,2380,2380,2380
473,0,5,0,2,7,585,665,625
474,0,13,1,2,7,550,981,765.5
475,0,3,0,4,8,1850,2775,2312.5
476,0,8,0,2,7,900,1515,1207.5
477,0,13,0,2,7,590,866,728
478,0,11,0,4,9,749,1319,1034
479,0,11,0,2,9,725,2499,1612
480,0,9,0,2,7,1595,1595,1595
481,0,13,0,2,7,863,1390,1126.5
482,0,9,0,2,8,895,1285,1090
483,0,0,0,4,9,709,925,817
484,0,13,0,2,7,865,1780,1322.5
485,0,0,0,6,9,710,770,740
486,0,0,0,2,8,1150,1950,1550
487,0,0,0,4,9,675,795,735
488,0,7,0,1,4,799,1670,1234.5
489,0,5,0,2,8,510,900,705
490,0,11,0,4,9,340,560,450
491,0,0,1,4,9,475,625,550
492,0,6,1,2,7,870,1015,942.5
493,0,2,1,2,8,550,824,687
494,0,13,0,2,8,1040,1495,1267.5
495,0,11,0,2,9,724,1619,1171.5
496,0,13,0,2,8,980,1515,1247.5
497,0,2,0,8,9,2380,2380,2380
498,0,5,0,2,7,585,665,625
499,0,13,1,2,7,550,981,765.5
500,0,3,0,4,8,1850,2775,2312.5
501,0,8,0,2,7,900,1515,1207.5
502,0,13,0,2,7,590,866,728
503,0,11,0,4,9,749,1319,1034
504,0,11,0,2,9,725,2499,1612
505,0,9,0,2,7,1595,1595,1595
506,0,13,0,2,7,863,1390,1126.5
507,0,9,0,2,8,895,1285,1090
508,0,0,0,4,9,709,925,817
509,0,13,0,2,7,865,1780,1322.5
510,0,0,0,6,9,710,770,740
511,0,0,0,2,8,1150,1950,1550
512,0,0,0,4,9,675,795,735
513,0,7,0,1,4,799,1670,1234.5
514,0,5,0,2,8,510,900,705
515,0,11,0,4,9,340,560,450
516,0,0,1,4,9,475,625,550
517,0,6,1,2,7,870,1015,942.5
518,0,2,1,2,8,550,824,687
519,1,14,0,1,2,395,395,395
520,1,14,0,3,2,985,985,985
521,1,14,0,3,2,590,590,590
522,1,14,0,3,3,980,980,980
523,1,14,0,3,3,875,875,875
524,1,14,0,5,7,1595,1595,1595
525,1,14,0,5,4,1300,1300,1300
526,1,14,0,8,9,1040,1040,1040
527,1,14,0,1,4,709,709,709
528,1,14,0,5,7,935,935,935
529,1,14,0,3,3,625,625,625
530,1,14,0,5,4,1128,1128,1128
531,1,14,0,8,9,1576,1576,1576
532,1,14,0,5,3,1190,1190,1190
533,1,14,0,7,8,1587,1587,1587
534,1,14,0,7,4,1407,1407,1407
535,1,14,0,7,4,1407,1407,1407
536,1,14,0,5,7,968,968,968
537,1,14,0,5,7,948,948,948
538,1,14,0,7,5,1227,1227,1227
539,1,14,0,1,2,395,395,395
540,1,14,0,3,2,985,985,985
541,1,14,0,3,2,590,590,590
542,1,14,0,3,3,980,980,980
543,1,14,0,3,3,875,875,875
544,1,14,0,5,7,1595,1595,1595
545,1,14,0,5,4,1300,1300,1300
546,1,14,0,8,9,1040,1040,1040
547,1,14,0,1,4,709,709,709
548,1,14,0,5,7,935,935,935
549,1,14,0,3,3,625,625,625
550,1,14,0,5,4,1128,1128,1128
551,1,14,0,8,9,1576,1576,1576
552,1,14,0,7,8,1647,1647,1647
553,1,14,0,3,6,550,550,550
554,1,14,0,5,3,1190,1190,1190
555,1,14,0,7,8,1587,1587,1587
556,1,14,0,7,4,1407,1407,1407
557,1,14,0,0,0,584,584,584
558,1,14,0,5,7,1118,1118,1118
559,1,14,0,1,4,709,709,709
560,1,14,0,5,4,1300,1300,1300
561,1,14,0,3,3,625,625,625
562,1,14,0,3,2,590,590,590
563,1,14,0,3,3,980,980,980
564,1,14,0,3,2,985,985,985
565,1,14,0,5,7,1595,1595,1595
566,1,14,0,1,2,395,395,395
567,1,14,0,1,1,735,735,735
568,1,14,0,3,3,875,875,875
569,1,14,0,3,2,1295,1295,1295
570,1,14,0,8,9,1000,1000,1000
571,1,14,0,5,7,1000,1000,1000
572,1,14,0,5,7,850,850,850
573,1,14,0,7,8,950,950,950
574,1,14,0,5,7,855,855,855
575,1,14,0,7,8,950,950,950
576,1,14,0,3,6,610,610,610
577,1,14,0,5,3,1190,1190,1190
578,1,14,0,7,8,1650,1650,1650
579,1,14,0,1,4,709,709,709
580,1,14,0,5,4,1300,1300,1300
581,1,14,0,3,3,625,625,625
582,1,14,0,3,2,590,590,590
583,1,14,0,3,3,980,980,980
584,1,14,0,3,2,985,985,985
585,1,14,0,5,7,1595,1595,1595
586,1,14,0,1,2,395,395,395
587,1,14,0,1,1,735,735,735
588,1,14,0,3,3,875,875,875
589,1,14,0,3,2,1295,1295,1295
590,1,14,0,8,9,1000,1000,1000
591,1,14,0,5,7,1000,1000,1000
592,1,14,0,5,7,850,850,850
593,1,14,0,7,8,950,950,950
594,1,14,0,5,7,855,855,855
595,1,14,0,7,8,950,950,950
596,1,14,0,3,6,610,610,610
597,1,14,0,5,3,1190,1190,1190
598,1,14,0,7,8,1650,1650,1650
599,1,14,0,1,4,709,709,709
600,1,14,0,5,4,1300,1300,1300
601,1,14,0,3,3,625,625,625
602,1,14,0,3,2,590,590,590
603,1,14,0,3,3,980,980,980
604,1,14,0,3,2,985,985,985
605,1,14,0,5,7,1595,1595,1595
606,1,14,0,1,2,395,395,395
607,1,14,0,1,1,735,735,735
608,1,14,0,3,3,875,875,875
609,1,14,0,3,2,1295,1295,1295
610,1,14,0,8,9,1000,1000,1000
611,1,14,0,5,7,1000,1000,1000
612,1,14,0,5,7,850,850,850
613,1,14,0,7,8,950,950,950
614,1,14,0,5,7,855,855,855
615,1,14,0,7,8,950,950,950
616,1,14,0,3,6,610,610,610
617,1,14,0,5,3,1190,1190,1190
618,1,14,0,7,8,1650,1650,1650
619,1,14,0,1,4,709,709,709
620,1,14,0,5,4,1300,1300,1300
621,1,14,0,3,3,625,625,625
622,1,14,0,3,2,590,590,590
623,1,14,0,3,3,980,980,980
624,1,14,0,3,2,985,985,985
625,1,14,0,5,7,1595,1595,1595
626,1,14,0,1,2,395,395,395
627,1,14,0,1,1,735,735,735
628,1,14,0,3,3,875,875,875
629,1,14,0,3,2,1295,1295,1295
630,1,14,0,8,9,1000,1000,1000
631,1,14,0,5,7,1000,1000,1000
632,1,14,0,5,7,850,850,850
633,1,14,0,7,8,950,950,950
634,1,14,0,5,7,855,855,855
635,1,14,0,7,8,950,950,950
636,1,14,0,3,6,610,610,610
637,1,14,0,5,3,1190,1190,1190
638,1,14,0,7,8,1650,1650,1650
639,1,14,0,1,2,395,395,395
640,1,14,0,3,2,985,985,985
641,1,14,0,3,2,590,590,590
642,1,14,0,3,3,980,980,980
643,1,14,0,3,3,875,875,875
644,1,14,0,5,7,1595,1595,1595
645,1,14,0,5,4,1300,1300,1300
646,1,14,0,8,9,1040,1040,1040
647,1,14,0,1,4,709,709,709
648,1,14,0,5,7,935,935,935
649,1,14,0,3,3,625,625,625
650,1,14,0,5,4,1128,1128,1128
651,1,14,0,8,9,1576,1576,1576
652,1,14,0,5,3,1190,1190,1190
653,1,14,0,7,8,1587,1587,1587
654,1,14,0,7,4,1407,1407,1407
655,1,14,0,7,4,1407,1407,1407
656,1,14,0,5,7,968,968,968
657,1,14,0,5,7,948,948,948
658,1,14,0,7,5,1227,1227,1227
659,1,14,0,1,2,395,395,395
660,1,14,0,3,2,985,985,985
661,1,14,0,3,2,590,590,590
662,1,14,0,3,3,980,980,980
663,1,14,0,3,3,875,875,875
664,1,14,0,5,7,1595,1595,1595
665,1,14,0,5,4,1300,1300,1300
666,1,14,0,8,9,1040,1040,1040
667,1,14,0,1,4,709,709,709
668,1,14,0,5,7,935,935,935
669,1,14,0,3,3,625,625,625
670,1,14,0,5,4,1128,1128,1128
671,1,14,0,8,9,1576,1576,1576
672,1,14,0,7,8,1647,1647,1647
673,1,14,0,3,6,550,550,550
674,1,14,0,5,3,1190,1190,1190
675,1,14,0,7,8,1587,1587,1587
676,1,14,0,7,4,1407,1407,1407
677,1,14,0,0,0,584,584,584
678,1,14,0,5,7,1118,1118,1118
679,1,14,0,1,2,395,395,395
680,1,14,0,3,2,985,985,985
681,1,14,0,3,2,590,590,590
682,1,14,0,3,3,980,980,980
683,1,14,0,3,3,875,875,875
684,1,14,0,5,7,1595,1595,1595
685,1,14,0,5,4,1300,1300,1300
686,1,14,0,8,9,1040,1040,1040
687,1,14,0,1,4,709,709,709
688,1,14,0,5,7,935,935,935
689,1,14,0,3,3,625,625,625
690,1,14,0,5,4,1128,1128,1128
691,1,14,0,8,9,1576,1576,1576
692,1,14,0,7,8,1647,1647,1647
693,1,14,0,3,6,550,550,550
694,1,14,0,5,3,1190,1190,1190
695,1,14,0,7,8,1587,1587,1587
696,1,14,0,7,8,1482,1482,1482
697,1,14,0,7,4,1407,1407,1407
698,1,14,0,7,4,1407,1407,1407
699,1,14,0,1,4,709,709,709
700,1,14,0,5,4,1300,1300,1300
701,1,14,0,3,3,625,625,625
702,1,14,0,3,2,590,590,590
703,1,14,0,3,3,980,980,980
704,1,14,0,3,2,985,985,985
705,1,14,0,5,7,1595,1595,1595
706,1,14,0,1,2,395,395,395
707,1,14,0,1,1,735,735,735
708,1,14,0,3,3,875,875,875
709,1,14,0,3,2,1295,1295,1295
710,1,14,0,8,9,1000,1000,1000
711,1,14,0,5,7,1000,1000,1000
712,1,14,0,5,7,850,850,850
713,1,14,0,7,8,950,950,950
714,1,14,0,5,7,855,855,855
715,1,14,0,7,8,950,950,950
716,1,14,0,3,6,610,610,610
717,1,14,0,5,3,1190,1190,1190
718,1,14,0,7,8,1650,1650,1650