,Address,Price,Beds,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost
185,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
186,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
187,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
188,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
189,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
190,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
191,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
192,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
193,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
194,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
195,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
196,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
197,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
198,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
199,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
200,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
201,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
202,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
203,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
204,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
205,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
206,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
207,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
208,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
209,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
210,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
211,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
212,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
213,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
214,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
215,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
216,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
217,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
218,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
219,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
220,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
221,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
222,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
223,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
224,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
225,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
226,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
227,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
228,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
229,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
230,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
231,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
232,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
233,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
234,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
235,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
236,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
237,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
238,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
239,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
240,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
241,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
242,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
243,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
244,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
245,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
246,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
247,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
248,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
249,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
250,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
251,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
252,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
253,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
254,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
255,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
256,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
257,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
258,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
259,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
260,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
261,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
262,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
263,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
264,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
265,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
266,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
267,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
268,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
269,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
270,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
271,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
272,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
273,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
274,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
275,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
276,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
277,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
278,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
279,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
280,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
281,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
282,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
283,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
284,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
285,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
286,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
287,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
288,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
289,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
290,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
291,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
292,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
293,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
294,Windsor West Apartments2502 Fields South Dr Champaign IL 61822,1040 - 1495,1-3,Apartments.com,New,Champaign,1,3,1040,1495,1267.5
295,Student Housing - West Quad29 E Green St Champaign IL 61820,724 - 1619,1-4,Apartments.com,7 hours Ago,Champaign,1,4,724,1619,1171.5
296,The Legends4422 Nicklaus Dr Champaign IL 61822,980 - 1515,1-3,Apartments.com,New,Champaign,1,3,980,1515,1247.5
297,1107 S 2nd St1107 S 2nd St Champaign IL 61820,2380,4,Apartments.com,1 week Ago,Champaign,4,4,2380,2380,2380
298,Gramercy Park Apartments2106 W White St Champaign IL 61821,585 - 665,1-2,Apartments.com,2 weeks Ago,Champaign,1,2,585,665,625
299,Town and Country1032 E Kerr Ave Urbana IL 61801,550 - 981,1-2,Apartments.com,New,Urbana,1,2,550,981,765.5
300,Skyline Tower519 E Green St Champaign IL 61820,1850 - 2775,2-3,Apartments.com,11 hours Ago,Champaign,2,3,1850,2775,2312.5
301,Gentry Square Apartments1712 Gentry Square Ln Champaign IL 61821,900 - 1515,1-2,Apartments.com,5 hours Ago,Champaign,1,2,900,1515,1207.5
302,Westgate Apartments LLC1600 W Bradley Ave Champaign IL 61821,590 - 866,1-2,Apartments.com,New,Champaign,1,2,590,866,728
303,Student Housing - HERE Champaign308 E Green St Champaign IL 61820,749 - 1319,2-4,Apartments.com,7 hours Ago,Champaign,2,4,749,1319,1034
304,Latitude608 E University Ave Champaign IL 61820,725 - 2499,1-4,Apartments.com,7 hours Ago,Champaign,1,4,725,2499,1612
305,520 Neil520 N Neil St Champaign IL 61820,1595,1-2,Apartments.com,6 hours Ago,Champaign,1,2,1595,1595,1595
306,Hunters Pond Apartment Homes2717 Hunters Pond Run Champaign IL 61820,863 - 1390,1-2,Apartments.com,New,Champaign,1,2,863,1390,1126.5
307,Watersedge936 Waterview Way Champaign IL 61822,895 - 1285,1-3,Apartments.com,6 hours Ago,Champaign,1,3,895,1285,1090
308,First Column Student Living512 E Green St Champaign IL 61820,709 - 925,2-4,Apartments.com,1 day Ago,Champaign,2,4,709,925,817
309,Baytowne Apartments LLC1000 Baytowne Dr Champaign IL 61822,865 - 1780,1-2,Apartments.com,New,Champaign,1,2,865,1780,1322.5
310,Lancaster Apartments112 E Chalmers St Champaign IL 61820,710 - 770,3-4,Apartments.com,1 day Ago,Champaign,3,4,710,770,740
311,Fields South3301 Fields South Dr Champaign IL 61822,1150 - 1950,1-3,Apartments.com,1 day Ago,Champaign,1,3,1150,1950,1550
312,Maywood Apartments51 E John St Champaign IL 61820,675 - 795,2-4,Apartments.com,1 day Ago,Champaign,2,4,675,795,735
313,Seven07707 S 4th St Champaign IL 61820,799 - 1670,-4,Apartments.com,5 day Ago,Champaign,,4,799,1670,1234.5
314,Colonial Apartments1101 S Mattis Ave Champaign IL 61821,510 - 900,1-3,Apartments.com,2 weeks Ago,Champaign,1,3,510,900,705
315,Place at 117117 Sterling Ct Savoy IL 61874,340 - 560,2-4,Apartments.com,7 hours Ago,Champaign,2,4,340,560,450
316,Capstone Quarters1901 N Lincoln Ave Urbana IL 61801,475 - 625,2-4,Apartments.com,1 day Ago,Urbana,2,4,475,625,550
317,Amber Pointe2002 E Amber Ln Urbana IL 61802,870 - 1015,1-2,Apartments.com,4 day Ago,Urbana,1,2,870,1015,942.5
318,Michigan East - Campus Property Management404 E Michigan Ave Urbana IL 61801,550 - 824,1-3,Apartments.com,1 week Ago,Urbana,1,3,550,824,687
319,Windsor West Apartments2502 Fields South Dr Champaign IL 61822,1040 - 1495,1-3,Apartments.com,New,Champaign,1,3,1040,1495,1267.5
320,Student Housing - West Quad29 E Green St Champaign IL 61820,724 - 1619,1-4,Apartments.com,7 hours Ago,Champaign,1,4,724,1619,1171.5
321,The Legends4422 Nicklaus Dr Champaign IL 61822,980 - 1515,1-3,Apartments.com,New,Champaign,1,3,980,1515,1247.5
322,1107 S 2nd St1107 S 2nd St Champaign IL 61820,2380,4,Apartments.com,1 week Ago,Champaign,4,4,2380,2380,2380
323,Gramercy Park Apartments2106 W White St Champaign IL 61821,585 - 665,1-2,Apartments.com,2 weeks Ago,Champaign,1,2,585,665,625
324,Town and Country1032 E Kerr Ave Urbana IL 61801,550 - 981,1-2,Apartments.com,New,Urbana,1,2,550,981,765.5
325,Skyline Tower519 E Green St Champaign IL 61820,1850 - 2775,2-3,Apartments.com,11 hours Ago,Champaign,2,3,1850,2775,2312.5
326,Gentry Square Apartments1712 Gentry Square Ln Champaign IL 61821,900 - 1515,1-2,Apartments.com,5 hours Ago,Champaign,1,2,900,1515,1207.5
327,Westgate Apartments LLC1600 W Bradley Ave Champaign IL 61821,590 - 866,1-2,Apartments.com,New,Champaign,1,2,590,866,728
328,Student Housing - HERE Champaign308 E Green St Champaign IL 61820,749 - 1319,2-4,Apartments.com,7 hours Ago,Champaign,2,4,749,1319,1034
329,Latitude608 E University Ave Champaign IL 61820,725 - 2499,1-4,Apartments.com,7 hours Ago,Champaign,1,4,725,2499,1612
330,520 Neil520 N Neil St Champaign IL 61820,1595,1-2,Apartments.com,6 hours Ago,Champaign,1,2,1595,1595,1595
331,Hunters Pond Apartment Homes2717 Hunters Pond Run Champaign IL 61820,863 - 1390,1-2,Apartments.com,New,Champaign,1,2,863,1390,1126.5
332,Watersedge936 Waterview Way Champaign IL 61822,895 - 1285,1-3,Apartments.com,6 hours Ago,Champaign,1,3,895,1285,1090
333,First Column Student Living512 E Green St Champaign IL 61820,709 - 925,2-4,Apartments.com,1 day Ago,Champaign,2,4,709,925,817
334,Baytowne Apartments LLC1000 Baytowne Dr Champaign IL 61822,865 - 1780,1-2,Apartments.com,New,Champaign,1,2,865,1780,1322.5
335,Lancaster Apartments112 E Chalmers St Champaign IL 61820,710 - 770,3-4,Apartments.com,1 day Ago,Champaign,3,4,710,770,740
336,Fields South3301 Fields South Dr Champaign IL 61822,1150 - 1950,1-3,Apartments.com,1 day Ago,Champaign,1,3,1150,1950,1550
337,Maywood Apartments51 E John St Champaign IL 61820,675 - 795,2-4,Apartments.com,1 day Ago,Champaign,2,4,675,795,735
338,Seven07707 S 4th St Champaign IL 61820,799 - 1670,-4,Apartments.com,5 day Ago,Champaign,,4,799,1670,1234.5
339,Colonial Apartments1101 S Mattis Ave Champaign IL 61821,510 - 900,1-3,Apartments.com,2 weeks Ago,Champaign,1,3,510,900,705
340,Place at 117117 Sterling Ct Savoy IL 61874,340 - 560,2-4,Apartments.com,7 hours Ago,Champaign,2,4,340,560,450
341,Capstone Quarters1901 N Lincoln Ave Urbana IL 61801,475 - 625,2-4,Apartments.com,1 day Ago,Urbana,2,4,475,625,550
342,Amber Pointe2002 E Amber Ln Urbana IL 61802,870 - 1015,1-2,Apartments.com,4 day Ago,Urbana,1,2,870,1015,942.5
343,Michigan East - Campus Property Management404 E Michigan Ave Urbana IL 61801,550 - 824,1-3,Apartments.com,1 week Ago,Urbana,1,3,550,824,687
344,Windsor West Apartments2502 Fields South Dr Champaign IL 61822,1040 - 1495,1-3,Apartments.com,New,Champaign,1,3,1040,1495,1267.5
345,Student Housing - West Quad29 E Green St Champaign IL 61820,724 - 1619,1-4,Apartments.com,7 hours Ago,Champaign,1,4,724,1619,1171.5
346,The Legends4422 Nicklaus Dr Champaign IL 61822,980 - 1515,1-3,Apartments.com,New,Champaign,1,3,980,1515,1247.5
347,1107 S 2nd St1107 S 2nd St Champaign IL 61820,2380,4,Apartments.com,1 week Ago,Champaign,4,4,2380,2380,2380
348,Gramercy Park Apartments2106 W White St Champaign IL 61821,585 - 665,1-2,Apartments.com,2 weeks Ago,Champaign,1,2,585,665,625
349,Town and Country1032 E Kerr Ave Urbana IL 61801,550 - 981,1-2,Apartments.com,New,Urbana,1,2,550,981,765.5
350,Skyline Tower519 E Green St Champaign IL 61820,1850 - 2775,2-3,Apartments.com,11 hours Ago,Champaign,2,3,1850,2775,2312.5
351,Gentry Square Apartments1712 Gentry Square Ln Champaign IL 61821,900 - 1515,1-2,Apartments.com,5 hours Ago,Champaign,1,2,900,1515,1207.5
352,Westgate Apartments LLC1600 W Bradley Ave Champaign IL 61821,590 - 866,1-2,Apartments.com,New,Champaign,1,2,590,866,728
353,Student Housing - HERE Champaign308 E Green St Champaign IL 61820,749 - 1319,2-4,Apartments.com,7 hours Ago,Champaign,2,4,749,1319,1034
354,Latitude608 E University Ave Champaign IL 61820,725 - 2499,1-4,Apartments.com,7 hours Ago,Champaign,1,4,725,2499,1612
355,520 Neil520 N Neil St Champaign IL 61820,1595,1-2,Apartments.com,6 hours Ago,Champaign,1,2,1595,1595,1595
